Species,Scientific,Link
Snow/Ross's Goose,Anser caerulescens/rossii,https://ebird.org/species/snogoo
Greater White-fronted Goose,Anser albifrons,https://ebird.org/species/gwfgoo
Cackling Goose,Branta hutchinsii,https://ebird.org/species/cacgoo1
Canada Goose,Branta canadensis,https://ebird.org/species/cangoo
Cackling/Canada Goose,Branta hutchinsii/canadensis,https://ebird.org/species/y00470
Mallard,Anas platyrhynchos,https://ebird.org/species/mallar3
Hooded Merganser,Lophodytes cucullatus,https://ebird.org/species/hoomer
Common Merganser,Mergus merganser,https://ebird.org/species/commer
Wild Turkey,Meleagris gallopavo,https://ebird.org/species/wiltur
Rock Pigeon,Columba livia,https://ebird.org/species/rocpig
Band-tailed Pigeon,Patagioenas fasciata,https://ebird.org/species/batpig1
Eurasian Collared-Dove,Streptopelia decaocto,https://ebird.org/species/eucdov
Mourning Dove,Zenaida macroura,https://ebird.org/species/moudov
Vaux's Swift,Chaetura vauxi,https://ebird.org/species/vauswi
Anna's Hummingbird,Calypte anna,https://ebird.org/species/annhum
Rufous Hummingbird,Selasphorus rufus,https://ebird.org/species/rufhum
Killdeer,Charadrius vociferus,https://ebird.org/species/killde
Wilson's Snipe,Gallinago delicata,https://ebird.org/species/wilsni1
Spotted Sandpiper,Actitis macularius,https://ebird.org/species/sposan
Greater Yellowlegs,Tringa melanoleuca,https://ebird.org/species/greyel
Least Sandpiper,Calidris minutilla,https://ebird.org/species/leasan
Ring-billed Gull,Larus delawarensis,https://ebird.org/species/ribgul
Western Gull,Larus occidentalis,https://ebird.org/species/wesgul
American Herring Gull,Larus smithsonianus,https://ebird.org/species/amhgul1
California Gull,Larus californicus,https://ebird.org/species/calgul
Glaucous-winged Gull,Larus glaucescens,https://ebird.org/species/glwgul
Western x Glaucous-winged Gull,Larus occidentalis x glaucescens,https://ebird.org/species/x00051
American Herring x Glaucous-winged Gull,Larus smithsonianus x glaucescens,https://ebird.org/species/herxgw
Iceland Gull,Larus glaucoides,https://ebird.org/species/icegul
Double-crested Cormorant,Nannopterum auritum,https://ebird.org/species/doccor
Green Heron,Butorides virescens,https://ebird.org/species/greher
Great Egret,Ardea alba,https://ebird.org/species/gregre
Great Blue Heron,Ardea herodias,https://ebird.org/species/gbheron
American White Pelican,Pelecanus erythrorhynchos,https://ebird.org/species/amwpel
Turkey Vulture,Cathartes aura,https://ebird.org/species/turvul
Osprey,Pandion haliaetus,https://ebird.org/species/osprey
Sharp-shinned Hawk,Accipiter striatus,https://ebird.org/species/shshaw
Cooper's Hawk,Astur cooperii,https://ebird.org/species/coohaw
Sharp-shinned/Cooper's Hawk,Accipiter striatus/Astur cooperii,https://ebird.org/species/sschar
Bald Eagle,Haliaeetus leucocephalus,https://ebird.org/species/baleag
Red-shouldered Hawk,Buteo lineatus,https://ebird.org/species/reshaw
Red-tailed Hawk,Buteo jamaicensis,https://ebird.org/species/rethaw
Western Screech-Owl,Megascops kennicottii,https://ebird.org/species/wesowl1
Barred Owl,Strix varia,https://ebird.org/species/brdowl
Northern Saw-whet Owl,Aegolius acadicus,https://ebird.org/species/nsowow
Belted Kingfisher,Megaceryle alcyon,https://ebird.org/species/belkin1
Red-breasted Sapsucker,Sphyrapicus ruber,https://ebird.org/species/rebsap
Downy Woodpecker,Dryobates pubescens,https://ebird.org/species/dowwoo
Pileated Woodpecker,Dryocopus pileatus,https://ebird.org/species/pilwoo
Northern Flicker,Colaptes auratus,https://ebird.org/species/norfli
American Kestrel,Falco sparverius,https://ebird.org/species/amekes
Merlin,Falco columbarius,https://ebird.org/species/merlin
Western Wood-Pewee,Contopus sordidulus,https://ebird.org/species/wewpew
Willow Flycatcher,Empidonax traillii,https://ebird.org/species/wilfly
Hammond's Flycatcher,Empidonax hammondii,https://ebird.org/species/hamfly
Dusky Flycatcher,Empidonax oberholseri,https://ebird.org/species/dusfly
Western Flycatcher,Empidonax difficilis,https://ebird.org/species/wesfly
Black Phoebe,Sayornis nigricans,https://ebird.org/species/blkpho
Cassin's Vireo,Vireo cassinii,https://ebird.org/species/casvir
Western Warbling Vireo,Vireo swainsoni,https://ebird.org/species/warvir
Steller's Jay,Cyanocitta stelleri,https://ebird.org/species/stejay
California Scrub-Jay,Aphelocoma californica,https://ebird.org/species/cowscj1
American Crow,Corvus brachyrhynchos,https://ebird.org/species/amecro
Common Raven,Corvus corax,https://ebird.org/species/comrav
Black-capped Chickadee,Poecile atricapillus,https://ebird.org/species/bkcchi
Chestnut-backed Chickadee,Poecile rufescens,https://ebird.org/species/chbchi
Tree Swallow,Tachycineta bicolor,https://ebird.org/species/treswa
Violet-green Swallow,Tachycineta thalassina,https://ebird.org/species/vigswa
Tree/Violet-green Swallow,Tachycineta bicolor/thalassina,https://ebird.org/species/y00701
Northern Rough-winged Swallow,Stelgidopteryx serripennis,https://ebird.org/species/nrwswa
Barn Swallow,Hirundo rustica,https://ebird.org/species/barswa
Cliff Swallow,Petrochelidon pyrrhonota,https://ebird.org/species/cliswa
Bushtit,Psaltriparus minimus,https://ebird.org/species/bushti
Ruby-crowned Kinglet,Corthylio calendula,https://ebird.org/species/ruckin
Golden-crowned Kinglet,Regulus satrapa,https://ebird.org/species/gockin
White-breasted Nuthatch,Sitta carolinensis,https://ebird.org/species/whbnut
Red-breasted Nuthatch,Sitta canadensis,https://ebird.org/species/rebnut
Brown Creeper,Certhia americana,https://ebird.org/species/brncre
Northern House Wren,Troglodytes aedon,https://ebird.org/species/houwre
Pacific Wren,Troglodytes pacificus,https://ebird.org/species/pacwre1
Bewick's Wren,Thryomanes bewickii,https://ebird.org/species/bewwre
European Starling,Sturnus vulgaris,https://ebird.org/species/eursta
Western Bluebird,Sialia mexicana,https://ebird.org/species/wesblu
Varied Thrush,Ixoreus naevius,https://ebird.org/species/varthr
Swainson's Thrush,Catharus ustulatus,https://ebird.org/species/swathr
Hermit Thrush,Catharus guttatus,https://ebird.org/species/herthr
American Robin,Turdus migratorius,https://ebird.org/species/amerob
Cedar Waxwing,Bombycilla cedrorum,https://ebird.org/species/cedwax
House Sparrow,Passer domesticus,https://ebird.org/species/houspa
American Pipit,Anthus rubescens,https://ebird.org/species/amepip
Evening Grosbeak,Hesperiphona vespertina,https://ebird.org/species/evegro
House Finch,Haemorhous mexicanus,https://ebird.org/species/houfin
Purple Finch,Haemorhous purpureus,https://ebird.org/species/purfin
Red Crossbill,Loxia curvirostra,https://ebird.org/species/redcro
Pine Siskin,Spinus pinus,https://ebird.org/species/pinsis
Lesser Goldfinch,Spinus psaltria,https://ebird.org/species/lesgol
American Goldfinch,Spinus tristis,https://ebird.org/species/amegfi
Chipping Sparrow,Spizella passerina,https://ebird.org/species/chispa
Fox Sparrow,Passerella iliaca,https://ebird.org/species/foxspa
Dark-eyed Junco,Junco hyemalis,https://ebird.org/species/daejun
White-crowned Sparrow,Zonotrichia leucophrys,https://ebird.org/species/whcspa
Golden-crowned Sparrow,Zonotrichia atricapilla,https://ebird.org/species/gocspa
White-throated Sparrow,Zonotrichia albicollis,https://ebird.org/species/whtspa
Vesper Sparrow,Pooecetes gramineus,https://ebird.org/species/vesspa
Savannah Sparrow,Passerculus sandwichensis,https://ebird.org/species/savspa
Song Sparrow,Melospiza melodia,https://ebird.org/species/sonspa
Lincoln's Sparrow,Melospiza lincolnii,https://ebird.org/species/linspa
Spotted Towhee,Pipilo maculatus,https://ebird.org/species/spotow
Western Meadowlark,Sturnella neglecta,https://ebird.org/species/wesmea
Red-winged Blackbird,Agelaius phoeniceus,https://ebird.org/species/rewbla
Brown-headed Cowbird,Molothrus ater,https://ebird.org/species/bnhcow
Brewer's Blackbird,Euphagus cyanocephalus,https://ebird.org/species/brebla
Tennessee Warbler,Leiothlypis peregrina,https://ebird.org/species/tenwar
Orange-crowned Warbler,Leiothlypis celata,https://ebird.org/species/orcwar
Nashville Warbler,Leiothlypis ruficapilla,https://ebird.org/species/naswar
MacGillivray's Warbler,Geothlypis tolmiei,https://ebird.org/species/macwar
Common Yellowthroat,Geothlypis trichas,https://ebird.org/species/comyel
Northern Yellow Warbler,Setophaga aestiva,https://ebird.org/species/yelwar
Yellow-rumped Warbler,Setophaga coronata,https://ebird.org/species/yerwar
Black-throated Gray Warbler,Setophaga nigrescens,https://ebird.org/species/btywar
Townsend's Warbler,Setophaga townsendi,https://ebird.org/species/towwar
Wilson's Warbler,Cardellina pusilla,https://ebird.org/species/wlswar
Western Tanager,Piranga ludoviciana,https://ebird.org/species/westan
Black-headed Grosbeak,Pheucticus melanocephalus,https://ebird.org/species/bkhgro
Lazuli Bunting,Passerina amoena,https://ebird.org/species/lazbun
