Species,Scientific,Link
Snow Goose,Anser caerulescens,https://ebird.org/species/snogoo
Graylag Goose,Anser anser,https://ebird.org/species/gragoo
Swan Goose,Anser cygnoides,https://ebird.org/species/swagoo1
Greater White-fronted Goose,Anser albifrons,https://ebird.org/species/gwfgoo
Cackling Goose,Branta hutchinsii,https://ebird.org/species/cacgoo1
Canada Goose,Branta canadensis,https://ebird.org/species/cangoo
Swan x Canada Goose,Anser cygnoides x Branta canadensis,https://ebird.org/species/swxcan
Graylag x Canada Goose,Anser anser x Branta canadensis,https://ebird.org/species/gxcgoo
Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,https://ebird.org/species/trutus
Muscovy Duck,Cairina moschata,https://ebird.org/species/musduc
Wood Duck,Aix sponsa,https://ebird.org/species/wooduc
Blue-winged Teal,Spatula discors,https://ebird.org/species/blutea
Cinnamon Teal,Spatula cyanoptera,https://ebird.org/species/cintea
Northern Shoveler,Spatula clypeata,https://ebird.org/species/norsho
Gadwall,Mareca strepera,https://ebird.org/species/gadwal
Eurasian Wigeon,Mareca penelope,https://ebird.org/species/eurwig
American Wigeon,Mareca americana,https://ebird.org/species/amewig
Mallard,Anas platyrhynchos,https://ebird.org/species/mallar3
Northern Pintail,Anas acuta,https://ebird.org/species/norpin
Green-winged Teal,Anas crecca,https://ebird.org/species/gnwtea
Ring-necked Duck,Aythya collaris,https://ebird.org/species/rinduc
Greater Scaup,Aythya marila,https://ebird.org/species/gresca
Lesser Scaup,Aythya affinis,https://ebird.org/species/lessca
Greater/Lesser Scaup,Aythya marila/affinis,https://ebird.org/species/y00044
Bufflehead,Bucephala albeola,https://ebird.org/species/buffle
Common Goldeneye,Bucephala clangula,https://ebird.org/species/comgol
Barrow's Goldeneye,Bucephala islandica,https://ebird.org/species/bargol
Hooded Merganser,Lophodytes cucullatus,https://ebird.org/species/hoomer
Common Merganser,Mergus merganser,https://ebird.org/species/commer
Ruddy Duck,Oxyura jamaicensis,https://ebird.org/species/rudduc
Wild Turkey,Meleagris gallopavo,https://ebird.org/species/wiltur
Rock Pigeon,Columba livia,https://ebird.org/species/rocpig
Band-tailed Pigeon,Patagioenas fasciata,https://ebird.org/species/batpig
Eurasian Collared-Dove,Streptopelia decaocto,https://ebird.org/species/eucdov
Mourning Dove,Zenaida macroura,https://ebird.org/species/moudov
Vaux's Swift,Chaetura vauxi,https://ebird.org/species/vauswi
Anna's Hummingbird,Calypte anna,https://ebird.org/species/annhum
Rufous Hummingbird,Selasphorus rufus,https://ebird.org/species/rufhum
Virginia Rail,Rallus limicola,https://ebird.org/species/virrai
American Coot,Fulica americana,https://ebird.org/species/amecoo
Killdeer,Charadrius vociferus,https://ebird.org/species/killde
Short-billed Dowitcher,Limnodromus griseus,https://ebird.org/species/shbdow
Long-billed Dowitcher,Limnodromus scolopaceus,https://ebird.org/species/lobdow
Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,https://ebird.org/species/dowitch
Wilson's Snipe,Gallinago delicata,https://ebird.org/species/wilsni1
Red-necked Phalarope,Phalaropus lobatus,https://ebird.org/species/renpha
Spotted Sandpiper,Actitis macularius,https://ebird.org/species/sposan
Solitary Sandpiper,Tringa solitaria,https://ebird.org/species/solsan
Lesser Yellowlegs,Tringa flavipes,https://ebird.org/species/lesyel
Greater Yellowlegs,Tringa melanoleuca,https://ebird.org/species/gleyel
Lesser/Greater Yellowlegs,Tringa flavipes/melanoleuca,https://ebird.org/species/y0045
Dunlin,Calidris alpina,https://ebird.org/species/dunlin
Least Sandpiper,Calidris minutilla,https://ebird.org/species/leasan
Western Sandpiper,Calidris mauri,https://ebird.org/species/wessan
Short-billed Gull,Larus brachyrhynchus,https://ebird.org/species/shbgul
Ring-billed Gull,Larus delawarensis,https://ebird.org/species/ribgul
Western Gull,Larus occidentalis,https://ebird.org/species/wesgul
American Herring Gull,Larus smithsonianus,https://ebird.org/species/hergul
California Gull,Larus californicus,https://ebird.org/species/calgul
Glaucous-winged Gull,Larus glaucescens,https://ebird.org/species/glwgul
Western x Glaucous-winged Gull,Larus occidentalis x glaucescens,https://ebird.org/species/wexgwg
Iceland Gull,Larus glaucoides,https://ebird.org/species/icegul
Pied-billed Grebe,Podilymbus podiceps,https://ebird.org/species/pibgre
Red-necked Grebe,Podiceps grisegena,https://ebird.org/species/rengre
Horned/Eared Grebe,Podiceps auritus/nigricollis,https://ebird.org/species/horear
Western Grebe,Aechmophorus occidentalis,https://ebird.org/species/wesgre
Double-crested Cormorant,Nannopterum auritum,https://ebird.org/species/doccor
American Bittern,Botaurus lentiginosus,https://ebird.org/species/amebit
Black-crowned Night Heron,Nycticorax nycticorax,https://ebird.org/species/bcnher
Green Heron,Butorides virescens,https://ebird.org/species/grnher
Great Egret,Ardea alba,https://ebird.org/species/greegr
Great Blue Heron,Ardea herodias,https://ebird.org/species/grbher3
American White Pelican,Pelecanus erythrorhynchos,https://ebird.org/species/amwpel
Turkey Vulture,Cathartes aura,https://ebird.org/species/turvul
Osprey,Pandion haliaetus,https://ebird.org/species/osprey
Sharp-shinned Hawk,Accipiter striatus,https://ebird.org/species/shshaw
Cooper's Hawk,Astur cooperii,https://ebird.org/species/coohaw
Sharp-shinned/Cooper's Hawk,Accipiter striatus/Astur cooperii,https://ebird.org/species/sschar
Bald Eagle,Haliaeetus leucocephalus,https://ebird.org/species/baleag
Red-shouldered Hawk,Buteo lineatus,https://ebird.org/species/reshaw
Red-tailed Hawk,Buteo jamaicensis,https://ebird.org/species/rethaw
Belted Kingfisher,Megaceryle alcyon,https://ebird.org/species/belkin1
Red-breasted Sapsucker,Sphyrapicus ruber,https://ebird.org/species/rebsap
Acorn Woodpecker,Melanerpes formicivorus,https://ebird.org/species/acowoo
Downy Woodpecker,Dryobates pubescens,https://ebird.org/species/dowwoo
Hairy Woodpecker,Leuconotopicus villosus,https://ebird.org/species/haiwoo
Downy/Hairy Woodpecker,Dryobates pubescens/Leuconotopicus villosus,https://ebird.org/species/dohawo
Pileated Woodpecker,Dryocopus pileatus,https://ebird.org/species/pilwoo
Northern Flicker,Colaptes auratus,https://ebird.org/species/norfli
American Kestrel,Falco sparverius,https://ebird.org/species/amekes
Merlin,Falco columbarius,https://ebird.org/species/merlin
Peregrine Falcon,Falco peregrinus,https://ebird.org/species/perfal
Olive-sided Flycatcher,Contopus cooperi,https://ebird.org/species/olsfly
Western Wood-Pewee,Contopus sordidulus,https://ebird.org/species/wewpew
Willow Flycatcher,Empidonax traillii,https://ebird.org/species/wilfly
Hammond's Flycatcher,Empidonax hammondii,https://ebird.org/species/hamfly
Black Phoebe,Sayornis nigricans,https://ebird.org/species/blapho
Hutton's Vireo,Vireo huttoni,https://ebird.org/species/hutvir
Western Warbling Vireo,Vireo swainsoni,https://ebird.org/species/warvir
Steller's Jay,Cyanocitta stelleri,https://ebird.org/species/stejay
California Scrub-Jay,Aphelocoma californica,https://ebird.org/species/casjay
American Crow,Corvus brachyrhynchos,https://ebird.org/species/amecro
Common Raven,Corvus corax,https://ebird.org/species/comrav
Black-capped Chickadee,Poecile atricapillus,https://ebird.org/species/bcchic
Chestnut-backed Chickadee,Poecile rufescens,https://ebird.org/species/chbchic
Tree Swallow,Tachycineta bicolor,https://ebird.org/species/treswa
Violet-green Swallow,Tachycineta thalassina,https://ebird.org/species/vigswa
Tree/Violet-green Swallow,Tachycineta bicolor/thalassina,https://ebird.org/species/tavgsw
Purple Martin,Progne subis,https://ebird.org/species/purmar
Northern Rough-winged Swallow,Stelgidopteryx serripennis,https://ebird.org/species/nrwswa
Barn Swallow,Hirundo rustica,https://ebird.org/species/barswa
Cliff Swallow,Petrochelidon pyrrhonota,https://ebird.org/species/cliswa
Bushtit,Psaltriparus minimus,https://ebird.org/species/bushti
Wrentit,Chamaea fasciata,https://ebird.org/species/wrenti
Ruby-crowned Kinglet,Corthylio calendula,https://ebird.org/species/ruckin
