Species,Scientific,Link
Snow Goose,Anser caerulescens,https://ebird.org/species/snogoo
Graylag Goose,Anser anser,https://ebird.org/species/gragoo
Greater White-fronted Goose,Anser albifrons,https://ebird.org/species/gwfgoo
Cackling Goose,Branta hutchinsii,https://ebird.org/species/cacgoo1
Canada Goose,Branta canadensis,https://ebird.org/species/cangoo
Cackling/Canada Goose,Branta hutchinsii/canadensis,https://ebird.org/species/cacgoc
Mute Swan,Cygnus olor,https://ebird.org/species/mutswa
Tundra Swan,Cygnus columbianus,https://ebird.org/species/tunswa
Wood Duck,Aix sponsa,https://ebird.org/species/wooduc
Blue-winged Teal,Spatula discors,https://ebird.org/species/blutea
Cinnamon Teal,Spatula cyanoptera,https://ebird.org/species/cintea
Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera,https://ebird.org/species/bwctea
Northern Shoveler,Spatula clypeata,https://ebird.org/species/norsho
Gadwall,Mareca strepera,https://ebird.org/species/gadwal
Eurasian Wigeon,Mareca penelope,https://ebird.org/species/eurwig
American Wigeon,Mareca americana,https://ebird.org/species/amewig
Mallard,Anas platyrhynchos,https://ebird.org/species/mallar3
Northern Pintail,Anas acuta,https://ebird.org/species/norpin
Green-winged Teal,Anas crecca,https://ebird.org/species/gnwtea
Cinnamon x Green-winged Teal,Spatula cyanoptera x Anas crecca,https://ebird.org/species/cxteal
Canvasback,Aythya valisineria,https://ebird.org/species/canvas
Redhead,Aythya americana,https://ebird.org/species/redhea
Ring-necked Duck,Aythya collaris,https://ebird.org/species/rinduc
Greater Scaup,Aythya marila,https://ebird.org/species/gresca
Lesser Scaup,Aythya affinis,https://ebird.org/species/lessca
Greater/Lesser Scaup,Aythya marila/affinis,https://ebird.org/species/y00044
Bufflehead,Bucephala albeola,https://ebird.org/species/buffle
Common Goldeneye,Bucephala clangula,https://ebird.org/species/comgol
Hooded Merganser,Lophodytes cucullatus,https://ebird.org/species/hoomer
Common Merganser,Mergus merganser,https://ebird.org/species/commer
Ruddy Duck,Oxyura jamaicensis,https://ebird.org/species/rudduc
California Quail,Callipepla californica,https://ebird.org/species/calqua
Wild Turkey,Meleagris gallopavo,https://ebird.org/species/wiltur
Ring-necked Pheasant,Phasianus colchicus,https://ebird.org/species/rinphe
Rock Pigeon,Columba livia,https://ebird.org/species/rocpig
Band-tailed Pigeon,Patagioenas fasciata,https://ebird.org/species/batpig
Eurasian Collared-Dove,Streptopelia decaocto,https://ebird.org/species/eucdov
Mourning Dove,Zenaida macroura,https://ebird.org/species/moudov
Vaux's Swift,Chaetura vauxi,https://ebird.org/species/vauswi
Anna's Hummingbird,Calypte anna,https://ebird.org/species/annhum
Rufous Hummingbird,Selasphorus rufus,https://ebird.org/species/rufhum
Virginia Rail,Rallus limicola,https://ebird.org/species/virrai
Sora,Porzana carolina,https://ebird.org/species/sora
American Coot,Fulica americana,https://ebird.org/species/amecoo
Sandhill Crane,Antigone canadensis,https://ebird.org/species/sancra
Black-necked Stilt,Himantopus mexicanus,https://ebird.org/species/bknsti
Black-bellied Plover,Pluvialis squatarola,https://ebird.org/species/blbplo
Pacific Golden-Plover,Pluvialis fulva,https://ebird.org/species/pagplo
Killdeer,Charadrius vociferus,https://ebird.org/species/killde
Semipalmated Plover,Charadrius semipalmatus,https://ebird.org/species/semplo
Snowy Plover,Anarhynchus nivosus,https://ebird.org/species/snoplo5
Hudsonian Whimbrel,Numenius hudsonicus,https://ebird.org/species/hudwhi
Long-billed Curlew,Numenius americanus,https://ebird.org/species/lobcur
Short-billed Dowitcher,Limnodromus griseus,https://ebird.org/species/shbdow
Long-billed Dowitcher,Limnodromus scolopaceus,https://ebird.org/species/lobdow
Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,https://ebird.org/species/dowitch
Wilson's Snipe,Gallinago delicata,https://ebird.org/species/wilsni1
Wilson's Phalarope,Phalaropus tricolor,https://ebird.org/species/wilpha
Red-necked Phalarope,Phalaropus lobatus,https://ebird.org/species/renpha
Spotted Sandpiper,Actitis macularius,https://ebird.org/species/sposan
Solitary Sandpiper,Tringa solitaria,https://ebird.org/species/solsan
Lesser Yellowlegs,Tringa flavipes,https://ebird.org/species/lesyel
Greater Yellowlegs,Tringa melanoleuca,https://ebird.org/species/gleyel
Lesser/Greater Yellowlegs,Tringa flavipes/melanoleuca,https://ebird.org/species/y0045
Ruddy Turnstone,Arenaria interpres,https://ebird.org/species/rudtur
Stilt Sandpiper,Calidris himantopus,https://ebird.org/species/stisan
Dunlin,Calidris alpina,https://ebird.org/species/dunlin
Baird's Sandpiper,Calidris bairdii,https://ebird.org/species/baisan
Least Sandpiper,Calidris minutilla,https://ebird.org/species/leasan
Pectoral Sandpiper,Calidris melanotos,https://ebird.org/species/pecsan
Western Sandpiper,Calidris mauri,https://ebird.org/species/wessan
Semipalmated Sandpiper,Calidris pusilla,https://ebird.org/species/semsan
Bonaparte's Gull,Chroicocephalus philadelphia,https://ebird.org/species/bongul
Short-billed Gull,Larus brachyrhynchus,https://ebird.org/species/shbgul
Ring-billed Gull,Larus delawarensis,https://ebird.org/species/ribgul
Western Gull,Larus occidentalis,https://ebird.org/species/wesgul
American Herring Gull,Larus smithsonianus,https://ebird.org/species/hergul
California Gull,Larus californicus,https://ebird.org/species/calgul
Glaucous-winged Gull,Larus glaucescens,https://ebird.org/species/glwgul
Western x Glaucous-winged Gull,Larus occidentalis x glaucescens,https://ebird.org/species/wexgwg
Least Tern,Sternula antillarum,https://ebird.org/species/leater1
Caspian Tern,Hydroprogne caspia,https://ebird.org/species/caster1
Black Tern,Chlidonias niger,https://ebird.org/species/blater
Forster's Tern,Sterna forsteri,https://ebird.org/species/forter
Pied-billed Grebe,Podilymbus podiceps,https://ebird.org/species/pibgre
Western Grebe,Aechmophorus occidentalis,https://ebird.org/species/wesgre
Clark's Grebe,Aechmophorus clarkii,https://ebird.org/species/clagre
Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,https://ebird.org/species/wecgre
Double-crested Cormorant,Nannopterum auritum,https://ebird.org/species/doccor
White-faced Ibis,Plegadis chihi,https://ebird.org/species/whfibi
American Bittern,Botaurus lentiginosus,https://ebird.org/species/amebit
Black-crowned Night Heron,Nycticorax nycticorax,https://ebird.org/species/bcnher
Snowy Egret,Egretta thula,https://ebird.org/species/snoegr
Green Heron,Butorides virescens,https://ebird.org/species/grnher
Great Egret,Ardea alba,https://ebird.org/species/greegr
Great Blue Heron,Ardea herodias,https://ebird.org/species/grbher3
American White Pelican,Pelecanus erythrorhynchos,https://ebird.org/species/amwpel
Turkey Vulture,Cathartes aura,https://ebird.org/species/turvul
Osprey,Pandion haliaetus,https://ebird.org/species/osprey
White-tailed Kite,Elanus leucurus,https://ebird.org/species/whtkit
Sharp-shinned Hawk,Accipiter striatus,https://ebird.org/species/shshaw
Cooper's Hawk,Astur cooperii,https://ebird.org/species/coohaw
Northern Harrier,Circus hudsonius,https://ebird.org/species/norhar2
Bald Eagle,Haliaeetus leucocephalus,https://ebird.org/species/baleag
Red-shouldered Hawk,Buteo lineatus,https://ebird.org/species/reshaw
Red-tailed Hawk,Buteo jamaicensis,https://ebird.org/species/rethaw
Rough-legged Hawk,Buteo lagopus,https://ebird.org/species/rolhaw
American Barn Owl,Tyto furcata,https://ebird.org/species/brnowl
Great Horned Owl,Bubo virginianus,https://ebird.org/species/grhowl
Short-eared Owl,Asio flammeus,https://ebird.org/species/sheowl
Belted Kingfisher,Megaceryle alcyon,https://ebird.org/species/belkin1
Red-breasted Sapsucker,Sphyrapicus ruber,https://ebird.org/species/rebsap
Acorn Woodpecker,Melanerpes formicivorus,https://ebird.org/species/acowoo
Downy Woodpecker,Dryobates pubescens,https://ebird.org/species/dowwoo
Hairy Woodpecker,Leuconotopicus villosus,https://ebird.org/species/haiwoo
Downy/Hairy Woodpecker,Dryobates pubescens/Leuconotopicus villosus,https://ebird.org/species/dohawo
